位置(pixel),光强(灰度值)
466.000,0.416
467.000,0.461
468.000,0.469
469.000,0.529
470.000,0.455
471.000,0.395
472.000,0.449
473.000,0.475
474.000,0.422
475.000,0.379
476.000,0.387
477.000,0.441
478.000,0.459
479.000,0.461
480.000,0.486
481.000,0.445
482.000,0.441
483.000,0.416
484.000,0.410
485.000,0.396
486.000,0.387
487.000,0.445
488.000,0.502
489.000,0.541
490.000,0.520
491.000,0.482
492.000,0.496
493.000,0.484
494.000,0.473
495.000,0.457
496.000,0.418
497.000,0.406
498.000,0.447
499.000,0.561
500.000,0.607
501.000,0.572
502.000,0.512
503.000,0.537
504.000,0.484
505.000,0.508
506.000,0.477
507.000,0.355
508.000,0.350
509.000,0.428
510.000,0.564
511.000,0.639

峰值位置(pixel),262.0
