位置(pixel),光强(灰度值)
410.000,18.250
411.000,16.258
412.000,12.467
413.000,8.675
414.000,6.275
415.000,5.929
416.000,7.204
417.000,9.108
418.000,10.479
419.000,10.792
420.000,9.846
421.000,8.133
422.000,6.425
423.000,5.346
424.000,5.000
425.000,5.213
426.000,5.696
427.000,6.013
428.000,6.088
429.000,5.721
430.000,5.229
431.000,4.729
432.000,4.500
433.000,4.442
434.000,4.612
435.000,4.787
436.000,4.858
437.000,4.833
438.000,4.729
439.000,4.638
440.000,4.612
441.000,4.633
442.000,4.696
443.000,4.792
444.000,4.838
445.000,4.900
446.000,4.933
447.000,4.825
448.000,4.729
449.000,4.746
450.000,4.704
451.000,4.750
452.000,5.008
453.000,5.467
454.000,5.871
455.000,6.271
456.000,6.317
457.000,5.954
458.000,5.308
459.000,4.950
460.000,5.171
461.000,5.908
462.000,6.838
463.000,7.862
464.000,8.417
465.000,8.200
466.000,7.237
467.000,6.167
468.000,5.529
469.000,5.621
470.000,6.575
471.000,8.054
472.000,9.471
473.000,10.054
474.000,9.588
475.000,8.200
476.000,6.612
477.000,5.562
478.000,5.650
479.000,6.929
480.000,8.983
481.000,10.779
482.000,11.425
483.000,10.725
484.000,8.967
485.000,6.888
486.000,5.467
487.000,5.433
488.000,6.850
489.000,9.021
490.000,10.887
491.000,11.537
492.000,10.838
493.000,9.171
494.000,7.433
495.000,6.329
496.000,6.383
497.000,7.596
498.000,9.533
499.000,11.188
500.000,11.762
501.000,10.821
502.000,8.863
503.000,6.954
504.000,5.737
505.000,5.688
506.000,6.696
507.000,8.438
508.000,10.021
509.000,10.588
510.000,9.879
511.000,8.304
512.000,6.629
513.000,5.638
514.000,5.617
515.000,6.421
516.000,7.713
517.000,8.758
518.000,9.029
519.000,8.504
520.000,7.392
521.000,6.171
522.000,5.325
523.000,5.042
524.000,5.554
525.000,6.508
526.000,7.383
527.000,7.596
528.000,7.146
529.000,6.329
530.000,5.492
531.000,5.079
532.000,4.862
533.000,5.000
534.000,5.425
535.000,5.896
536.000,6.067
537.000,5.846
538.000,5.300
539.000,4.783
540.000,4.550
541.000,4.612
542.000,4.792
543.000,4.958
544.000,5.025
545.000,5.033
546.000,5.004
547.000,4.925
548.000,4.817
549.000,4.675
550.000,4.500
551.000,4.500
552.000,4.679
553.000,4.867
554.000,4.925
555.000,4.683
556.000,4.492
557.000,4.421
558.000,4.429
559.000,4.492
560.000,4.608
561.000,4.708
562.000,4.742
563.000,4.571
564.000,4.550
565.000,4.604
566.000,4.713
567.000,4.708
568.000,4.675
569.000,4.604
570.000,4.612
571.000,4.638
572.000,4.621
573.000,4.458
574.000,4.325
575.000,4.258
576.000,4.263
577.000,4.333
578.000,4.529
579.000,5.037
580.000,5.471
581.000,5.525
582.000,5.254
583.000,5.008
584.000,4.763
585.000,4.617
586.000,4.775
587.000,5.246
588.000,5.854
589.000,6.196
590.000,6.183
591.000,5.812
592.000,5.371
593.000,5.104
594.000,4.950
595.000,5.071
596.000,5.492
597.000,6.079
598.000,6.521
599.000,6.604
600.000,6.475
601.000,6.025
602.000,5.362
603.000,4.829
604.000,4.575
605.000,4.908
606.000,5.771
607.000,6.717
608.000,6.987
609.000,6.733
610.000,6.133
611.000,5.379
612.000,4.892
613.000,4.921
614.000,5.492
615.000,6.204
616.000,6.750
617.000,6.858
618.000,6.571
619.000,5.854
620.000,5.088
621.000,4.600
622.000,4.621
623.000,5.142
624.000,5.904
625.000,6.467
626.000,6.675
627.000,6.429
628.000,5.892
629.000,5.213
630.000,4.550
631.000,4.167
632.000,4.192
633.000,4.487
634.000,4.696
635.000,4.529
636.000,4.033
637.000,3.525
638.000,3.167
639.000,3.042

峰值位置(pixel),257.0,266.0,275.0,284.0,293.0,302.0,311.0,320.0,329.0,338.0,347.0,356.0,365.0,374.0,383.0
平均条纹间距(pixel),9.000
