位置(pixel),光强(灰度值)
343.000,116.781
344.000,111.094
345.000,105.408
346.000,99.800
347.000,94.190
348.000,88.556
349.000,83.017
350.000,77.556
351.000,72.296
352.000,67.052
353.000,62.006
354.000,57.075
355.000,52.210
356.000,47.581
357.000,43.067
358.000,38.810
359.000,34.785
360.000,30.869
361.000,27.206
362.000,23.723
363.000,20.502
364.000,17.533
365.000,14.723
366.000,12.169
367.000,9.808
368.000,7.677
369.000,5.698
370.000,3.952
371.000,2.479
372.000,1.238
373.000,0.346
374.000,0.087
375.000,0.010
376.000,0.000
377.000,0.000
378.000,0.000
379.000,0.000
380.000,0.000
381.000,0.000
382.000,0.000
383.000,0.000
384.000,0.000
385.000,0.010
386.000,0.023
387.000,0.042
388.000,0.121
389.000,0.285
390.000,0.500
391.000,0.819
392.000,1.317
393.000,1.890
394.000,2.394
395.000,2.825
396.000,3.252
397.000,3.729
398.000,4.198
399.000,4.671
400.000,5.044
401.000,5.365
402.000,5.606
403.000,5.775
404.000,5.871
405.000,5.923
406.000,5.919
407.000,5.869
408.000,5.810
409.000,5.746
410.000,5.525
411.000,5.279
412.000,4.942
413.000,4.652
414.000,4.379
415.000,4.017
416.000,3.660
417.000,3.296
418.000,2.983
419.000,2.513
420.000,1.969
421.000,1.540
422.000,1.196
423.000,0.867
424.000,0.615
425.000,0.373
426.000,0.194
427.000,0.094
428.000,0.069
429.000,0.015
430.000,0.000
431.000,0.002
432.000,0.008
433.000,0.000
434.000,0.002
435.000,0.000
436.000,0.000
437.000,0.000
438.000,0.000
439.000,0.000
440.000,0.000
441.000,0.000
442.000,0.000
443.000,0.000
444.000,0.000
445.000,0.000
446.000,0.000
447.000,0.000
448.000,0.000
449.000,0.008
450.000,0.008
451.000,0.000
452.000,0.010
453.000,0.008
454.000,0.017
455.000,0.037
456.000,0.052
457.000,0.077
458.000,0.110
459.000,0.146
460.000,0.179
461.000,0.190
462.000,0.202
463.000,0.248
464.000,0.260
465.000,0.273
466.000,0.325
467.000,0.342
468.000,0.294
469.000,0.237
470.000,0.196
471.000,0.200
472.000,0.252
473.000,0.235
474.000,0.196
475.000,0.123
476.000,0.117
477.000,0.113
478.000,0.087
479.000,0.067
480.000,0.044
481.000,0.042
482.000,0.033
483.000,0.017
484.000,0.013
485.000,0.017
486.000,0.010
487.000,0.004
488.000,0.000
489.000,0.000
490.000,0.002
491.000,0.000
492.000,0.000
493.000,0.000
494.000,0.000
495.000,0.000
496.000,0.000
497.000,0.000
498.000,0.004
499.000,0.000
500.000,0.000
501.000,0.000
502.000,0.004
503.000,0.000
504.000,0.000
505.000,0.000
506.000,0.000
507.000,0.000
508.000,0.000
509.000,0.000
510.000,0.000
511.000,0.000
512.000,0.000
513.000,0.004
514.000,0.000
515.000,0.000
516.000,0.002
517.000,0.004
518.000,0.002
519.000,0.004
520.000,0.004
521.000,0.004
522.000,0.008
523.000,0.015
524.000,0.006
525.000,0.006
526.000,0.010
527.000,0.017
528.000,0.021
529.000,0.025
530.000,0.029
531.000,0.025
532.000,0.008
533.000,0.019
534.000,0.008
535.000,0.017
536.000,0.013
537.000,0.006
538.000,0.002
539.000,0.002
540.000,0.000
541.000,0.000
542.000,0.000
543.000,0.000
544.000,0.002
545.000,0.002
546.000,0.000
547.000,0.004
548.000,0.010
549.000,0.006
550.000,0.004
551.000,0.000
552.000,0.000
553.000,0.000
554.000,0.000
555.000,0.000
556.000,0.000
557.000,0.000
558.000,0.000
559.000,0.000
560.000,0.000
561.000,0.000
562.000,0.000
563.000,0.000
564.000,0.000
565.000,0.000
566.000,0.000
567.000,0.000
568.000,0.000
569.000,0.000
570.000,0.000
571.000,0.000
572.000,0.000
573.000,0.000
574.000,0.004
575.000,0.000
576.000,0.000
577.000,0.002
578.000,0.004
579.000,0.002
580.000,0.000
581.000,0.000
582.000,0.000
583.000,0.002
584.000,0.000
585.000,0.000
586.000,0.000
587.000,0.000
588.000,0.006
589.000,0.000
590.000,0.002
591.000,0.004
592.000,0.000
593.000,0.006
594.000,0.006
595.000,0.010
596.000,0.006
597.000,0.000
598.000,0.000
599.000,0.000
600.000,0.000
601.000,0.000
602.000,0.000
603.000,0.002
604.000,0.000
605.000,0.000
606.000,0.000
607.000,0.004
608.000,0.004
609.000,0.000
610.000,0.000
611.000,0.000
612.000,0.002
613.000,0.000
614.000,0.000
615.000,0.000
616.000,0.002
617.000,0.000
618.000,0.000
619.000,0.000
620.000,0.000
621.000,0.000
622.000,0.000
623.000,0.000
624.000,0.000
625.000,0.000
626.000,0.000
627.000,0.000
628.000,0.000
629.000,0.000
630.000,0.000
631.000,0.000
632.000,0.000
633.000,0.000
634.000,0.000
635.000,0.000
636.000,0.000
637.000,0.000
638.000,0.000
639.000,0.006

峰值位置(pixel),320.0
